rho,seed,T,modulator_correct_a,modulator_correct_b,modulator_correct_both,M_source0_a,M_source2_a,M_source0_b,M_source2_b,err_g123_a,err_g123_b,err_g145_a,err_g145_b,err_g123,err_g145,gap_g123,gap_g145,r_eff_x3_x5,elapsed_seconds
0.95,2042,25000,1,1,1,[1],[3],[1],[3],0.30391600728034973,0.2780933678150177,0.13147525489330292,0.17149314284324646,0.2910046875476837,0.1514841988682747,0.027322471141815186,0.040991879999637604,1.6059029108515326,115.32119870185852
0.95,3042,25000,1,1,1,[1],[3],[1],[3],0.27594202756881714,0.30998313426971436,0.16611678898334503,0.8482994437217712,0.29296258091926575,0.5072081163525581,0.034408088773489,0.6845045685768127,1.6317875909525508,115.01716446876526
0.95,4042,25000,1,0,0,[1],[3],[],"[1, 3]",0.32101255655288696,0.7684658169746399,0.16550785303115845,0.0585876926779747,0.5447391867637634,0.11204777285456657,0.4477165937423706,0.11675244569778442,1.6048864632076563,114.73468399047852
0.95,5042,25000,0,1,0,[],"[1, 3]",[1],[3],0.774272084236145,0.32142484188079834,0.05914952605962753,0.14345258474349976,0.5478484630584717,0.10130105540156364,0.45312440395355225,0.09714866429567337,1.6178017267485525,114.98321723937988
0.95,6042,25000,1,0,0,[1],[3],[],"[1, 3]",0.3237186372280121,0.7560457587242126,0.1406193971633911,0.06863628327846527,0.5398821979761124,0.10462784022092819,0.43268105387687683,0.08287215977907181,1.6024916033876186,120.43765544891357
0.95,7042,25000,0,0,0,[1],"[0, 1]",[1],"[0, 3]",0.26435139775276184,0.31537893414497375,0.4881685972213745,0.5976439118385315,0.2898651659488678,0.542906254529953,0.051266781985759735,0.11136647313833237,1.6095180022556386,130.24759030342102
0.95,8042,25000,1,1,1,[1],[3],[1],[3],0.3024864196777344,0.30233216285705566,0.16184483468532562,0.1758844405412674,0.302409291267395,0.1688646376132965,0.004572706762701273,0.0192380640655756,1.6198140725645562,130.0384931564331
0.95,9042,25000,0,1,0,[1],"[0, 3]",[1],[3],0.25788232684135437,0.27875494956970215,0.09146329015493393,0.22932614386081696,0.26831863820552826,0.16039471700787544,0.021483389660716057,0.14107966423034668,1.6142692058743653,132.51500725746155
0.99,42,25000,0,0,0,[1],"[0, 1, 3]",[1],"[1, 3]",0.2902390956878662,0.3121888041496277,0.10917647182941437,0.18795356154441833,0.30121394991874695,0.14856501668691635,0.022957591339945793,0.08345207571983337,1.5530267323954214,129.9072778224945
0.99,1042,25000,1,0,0,[1],[3],[1],"[1, 3]",0.3125894367694855,0.3108854591846466,0.17793816328048706,0.1372148096561432,0.31173744797706604,0.15757648646831512,0.005510067567229271,0.04273684695363045,1.56037320126167,128.15146923065186
0.99,2042,25000,0,0,0,[1],"[1, 3]",[1],"[1, 3]",0.30874767899513245,0.2886731028556824,0.1447162628173828,0.18338291347026825,0.2987103909254074,0.16404958814382553,0.02152468077838421,0.0406288206577301,1.545096102263366,130.20335340499878
