target,r_eff,n_train,n_test,mse_test_gnavar_seed0,mse_test_gnavar_seed1,mse_test_pairwise,mse_ratio_pw_to_gn,spx_rank1_count,n_peer_edges,mean_top_margin,most_common_top_modulator,most_common_top_count,seed_agreement,edges_seed0_json,elapsed_seconds
FTSE,1.4993601697002443,2090,521,0.39341261982917786,0.38835591077804565,0.3948827385902405,1.0037368368144899,2,3,5.538892303631942,.SPX,2,0.5,"{"".GDAXI"": [["".FCHI"", 0.2512594759464264], ["".SPX"", 0.056799594312906265], ["".OMXSPI"", 0.009379380382597446]], "".FCHI"": [["".SPX"", 0.260152131319046], ["".OMXSPI"", 0.024023031815886497], ["".GDAXI"", 0.007277189288288355]], "".OMXSPI"": [["".SPX"", 0.03848159685730934], ["".GDAXI"", 0.02821679785847664], ["".FCHI"", 0.022590599954128265]], "".SPX"": [["".OMXSPI"", 0.07261554151773453], ["".GDAXI"", 0.027431411668658257], ["".FCHI"", 0.016445690765976906]]}",19.204572439193726
GDAXI,1.485966146457128,2090,521,0.36821192502975464,0.3711617588996887,0.36276623606681824,0.9852104492202518,1,3,1.9496911362435956,.FCHI,2,0.25,"{"".FCHI"": [["".OMXSPI"", 0.2138635367155075], ["".FTSE"", 0.09242333471775055], ["".SPX"", 0.06496276706457138]], "".FTSE"": [["".SPX"", 0.11744406819343567], ["".FCHI"", 0.1014971137046814], ["".OMXSPI"", 0.08103544265031815]], "".OMXSPI"": [["".FCHI"", 0.06670265644788742], ["".SPX"", 0.028049897402524948], ["".FTSE"", 0.01588563248515129]], "".SPX"": [["".FCHI"", 1.2415608167648315], ["".OMXSPI"", 0.14107084274291992], ["".FTSE"", 0.13180965185165405]]}",14.850296020507812
N225,1.7748683939996794,2090,521,0.7219635248184204,0.7726250290870667,0.6845930218696594,0.9482376856113888,1,3,5.835061699764246,.HSI,2,0.25,"{"".KS11"": [["".HSI"", 0.17564822733402252], ["".FTSE"", 0.12632276117801666], ["".SPX"", 0.10164739191532135]], "".HSI"": [["".SPX"", 0.1599656641483307], ["".KS11"", 0.022816358134150505], ["".FTSE"", 0.015146804042160511]], "".FTSE"": [["".HSI"", 1.3048936128616333], ["".SPX"", 0.14333653450012207], ["".KS11"", 0.11708670854568481]], "".SPX"": [["".KS11"", 0.1993720829486847], ["".HSI"", 0.0946023240685463], ["".FTSE"", 0.04242618381977081]]}",14.920277833938599
HSI,1.9731222217631093,2090,521,0.49912330508232117,0.4823625981807709,0.4663366973400116,0.9343116071550656,1,3,4.815792094241538,.FTSE,2,0.75,"{"".KS11"": [["".SPX"", 0.18068291246891022], ["".N225"", 0.02452642284333706], ["".FTSE"", 0.017585514113307]], "".N225"": [["".FTSE"", 0.13529647886753082], ["".SPX"", 0.08707215636968613], ["".KS11"", 0.023656146600842476]], "".FTSE"": [["".N225"", 0.1589980125427246], ["".SPX"", 0.028769249096512794], ["".KS11"", 0.028422867879271507]], "".SPX"": [["".FTSE"", 0.2445954531431198], ["".N225"", 0.24248746037483215], ["".KS11"", 0.026401545852422714]]}",14.944972038269043
