l1_lambda,T,seed,modulator_correct,M_source0,M_source2,err_g123,err_g145,err_edge_source0,err_edge_source2,elapsed_seconds
0.005,25000,42,1,[1],[3],0.30324164032936096,0.1607026904821396,0.27202319234208056,0.14778920623240313,19.488390684127808
0.01,25000,42,1,[1],[3],0.30334535241127014,0.15831315517425537,0.2711462277564628,0.1635699413109992,19.447597980499268
0.02,25000,42,1,[1],[3],0.309422105550766,0.16028578579425812,0.27518727452859454,0.21745122642621598,19.4513041973114
0.05,25000,42,1,[1],[3],0.33205971121788025,0.17624607682228088,0.29782729944939107,0.2735385442894923,19.469359159469604
0.1,25000,42,1,[1],[3],0.3689691424369812,0.21197569370269775,0.3488529536998548,0.33561293195159736,19.460500955581665
